Date,Price,Volume
2020-04-10,0.95,87364276.12
2020-04-11,0.78,43862443.79
2020-04-12,0.88,38736897.02
2020-04-13,0.78,18211285.47
2020-04-14,0.66,16747614.12
2020-04-15,0.65,13075275.29
2020-04-16,0.69,21346031.35
2020-04-17,0.66,9870810.00
2020-04-18,0.68,9782111.90
2020-04-19,0.61,9289670.38
2020-04-20,0.54,8342616.42
2020-04-21,0.59,9711507.45
2020-04-22,0.69,18828399.52
2020-04-23,0.63,13485271.05
2020-04-24,0.63,9064190.27
2020-04-25,0.64,7311904.72
2020-04-26,0.64,8320760.36
2020-04-27,0.57,7406934.11
2020-04-28,0.66,7470201.22
2020-04-29,0.75,8801144.48
2020-04-30,0.69,5016891.64
2020-05-01,0.73,4164272.07
2020-05-02,0.72,3441355.74
2020-05-03,0.68,3328343.61
2020-05-04,0.67,3443697.82
2020-05-05,0.64,2847469.34
2020-05-06,0.62,2677562.97
2020-05-07,0.61,3355830.24
2020-05-08,0.60,2488194.57
2020-05-09,0.60,2128502.76
2020-05-10,0.54,2327580.80
2020-05-11,0.52,2098480.83
2020-05-12,0.54,2198624.88
2020-05-13,0.55,2326445.53
2020-05-14,0.57,2047896.79
2020-05-15,0.56,1850070.45
2020-05-16,0.60,2300409.15
2020-05-17,0.61,2936428.45
2020-05-18,0.65,3314358.53
2020-05-19,0.62,2380263.04
2020-05-20,0.58,2302926.40
2020-05-21,0.61,2863016.80
2020-05-22,0.64,3411419.38
2020-05-23,0.61,2638523.85
2020-05-24,0.55,2786816.20
2020-05-25,0.60,4509580.34
2020-05-26,0.57,2689697.32
2020-05-27,0.59,2536915.56
2020-05-28,0.58,2662787.87
2020-05-29,0.58,2066857.45
2020-05-30,0.59,2449094.84
2020-05-31,0.57,1892967.09
2020-06-01,0.58,2159877.16
2020-06-02,0.56,1295757.46
2020-06-03,0.59,877446.18
2020-06-04,0.59,901641.25
2020-06-05,0.66,4322091.65
2020-06-06,0.62,1604055.16
2020-06-07,0.62,716785.47
2020-06-08,0.67,1440233.82
2020-06-09,0.66,988327.44
2020-06-10,0.64,1096203.33
2020-06-11,0.57,1122221.19
2020-06-12,0.59,940323.24
2020-06-13,0.61,764756.55
2020-06-14,0.59,873415.75
2020-06-15,0.57,942666.19
2020-06-16,0.59,652020.10
2020-06-17,0.58,673274.19
2020-06-18,0.62,1349341.27
2020-06-20,0.64,1714405.30
2020-06-21,0.67,2238347.19
2020-06-22,0.73,1620387.87
2020-06-23,0.71,1327340.25
2020-06-24,0.74,2769053.66
2020-06-25,0.71,1751581.23
2020-06-26,0.74,1664662.32
2020-06-27,0.71,1681428.03
2020-06-28,0.80,3412582.29
2020-06-29,0.85,2147790.98
2020-06-30,0.86,3887548.37
2020-07-01,0.83,1772559.84
2020-07-02,0.78,1749581.48
2020-07-03,0.77,1144958.30
2020-07-04,0.78,1644301.45
2020-07-05,0.69,3799016.32
2020-07-06,0.71,1120773.26
2020-07-07,0.75,1700040.66
2020-07-08,0.80,2220222.73
2020-07-09,0.85,2668723.51
2020-07-10,0.91,1856094.87
2020-07-11,0.92,1788814.06
2020-07-12,1.02,4693370.51
2020-07-13,1.18,4062068.75
2020-07-14,1.15,2213135.15
2020-07-15,1.29,3355229.33
2020-07-16,0.87,7486567.81
2020-07-17,0.98,8973774.36
2020-07-18,0.97,2923007.18
2020-07-19,0.92,2206671.02
2020-07-20,0.87,3036870.92
2020-07-21,0.98,4299502.34
2020-07-22,1.04,5295001.98
2020-07-23,1.05,2970423.13
2020-07-24,1.00,1991763.31
2020-07-25,1.25,9978279.44
2020-07-26,1.57,10463129.60
2020-07-27,1.78,32838354.71
2020-07-28,1.78,9692632.17
2020-07-29,1.66,10348944.53
2020-07-30,1.69,5222980.08
2020-07-31,1.54,4822046.27
2020-08-01,1.53,4589882.25
2020-08-02,1.74,7216576.39
2020-08-03,1.80,5836036.44
2020-08-04,1.87,5495665.00
2020-08-05,1.75,5405764.40
2020-08-06,2.21,11143557.07
2020-08-07,2.09,8068101.90
2020-08-08,2.47,10919229.18
2020-08-09,2.67,12107836.86
2020-08-10,3.13,22863250.63
2020-08-11,3.30,36356155.18
2020-08-12,3.77,28461706.59
2020-08-13,3.76,28236179.42
2020-08-14,3.41,18427949.98
2020-08-15,3.18,13155762.37
2020-08-16,3.39,10395312.82
2020-08-17,3.10,10723918.77
2020-08-18,3.33,30350144.94
2020-08-19,2.90,14838388.92
2020-08-20,3.21,13756478.15
2020-08-21,2.94,11796735.63
2020-08-22,3.02,10296804.82
2020-08-23,3.32,11991402.16
2020-08-24,3.34,15785207.72
2020-08-25,3.26,13444308.06
2020-08-26,3.56,22147431.49
2020-08-27,3.45,21031356.32
2020-08-28,4.01,27212887.50
2020-08-29,3.97,14585964.43
2020-08-30,4.44,22220238.80
2020-08-31,4.78,20950150.22
2020-09-01,4.34,16944926.94
2020-09-02,4.16,23655802.31
2020-09-03,3.53,26473633.56
2020-09-04,3.55,17729340.04
2020-09-05,2.60,25062204.65
2020-09-06,3.09,20375889.88
2020-09-07,2.93,17135013.48
2020-09-08,2.47,10163724.60
2020-09-09,3.64,52354542.08
2020-09-10,3.47,31177874.79
2020-09-11,3.43,17090627.46
2020-09-12,3.33,10368518.36
2020-09-13,3.23,15316353.18
2020-09-14,3.27,21301450.10
2020-09-15,2.94,11992537.78
2020-09-16,2.55,24199803.58
2020-09-18,3.11,23510207.10
2020-09-19,3.03,10763972.59
2020-09-20,2.87,9217295.41
2020-09-21,2.78,19492893.62
2020-09-22,2.92,18556523.39
2020-09-23,2.84,16096650.33
2020-09-24,3.13,18993325.65
2020-09-25,3.19,15935143.49
2020-09-26,3.13,11018474.88
2020-09-27,3.15,9734367.88
2020-09-28,2.96,10950200.85
2020-09-29,2.95,8821253.15
2020-09-30,2.90,7767702.11
2020-10-01,2.86,10825966.26
2020-10-02,2.63,15856538.99
2020-10-03,2.55,6155890.58
2020-10-04,2.52,7075729.48
2020-10-05,2.66,8105684.03
2020-10-06,2.18,9739070.72
2020-10-07,2.29,11759752.04
2020-10-08,2.37,14931921.70
2020-10-09,2.54,12002959.24
2020-10-10,2.41,8842883.98
2020-10-11,2.43,7170646.66
2020-10-12,2.59,12289968.79
2020-10-13,2.40,11415736.61
2020-10-14,2.31,9436238.76
2020-10-15,2.27,8332482.59
2020-10-16,2.15,13637728.05
2020-10-17,2.20,6612611.78
2020-10-18,2.21,6294162.17
2020-10-19,2.06,8248860.30
2020-10-20,1.89,13129043.07
2020-10-21,1.89,19275509.45
2020-10-22,1.96,11445662.79
2020-10-23,1.96,11497444.71
2020-10-24,1.91,7581827.29
2020-10-25,1.79,9092333.67
2020-10-26,1.69,13396735.95
2020-10-27,1.71,14384427.43
2020-10-28,1.49,17089719.32
2020-10-29,1.43,8024137.80
2020-10-30,1.44,8528335.71
2020-10-31,1.54,6449388.39
2020-11-01,1.60,6877556.68
2020-11-02,1.47,6366346.26
2020-11-03,1.41,6536977.28
2020-11-04,1.39,11406316.03
2020-11-05,1.41,8924131.52
2020-11-06,1.91,22547497.13
2020-11-07,2.03,51426099.68
2020-11-08,2.16,25931043.04
2020-11-09,2.03,18210625.97
2020-11-10,2.25,16170833.13
2020-11-11,2.00,13877948.93
2020-11-12,1.90,11506047.77
2020-11-13,2.02,11621743.54
2020-11-14,1.92,8134592.55
2020-11-15,2.04,18621333.34
2020-11-16,2.26,22156135.17
2020-11-17,2.20,17074174.96
2020-11-18,2.12,14629648.09
2020-11-19,2.08,10155987.37
2020-11-20,2.10,11113989.74
2020-11-21,2.38,20288343.22
2020-11-22,2.14,16416064.60
2020-11-23,2.28,15487339.48
2020-11-24,2.27,25036626.13
2020-11-25,2.27,24870950.93
2020-11-26,1.90,33038222.89
2020-11-27,1.86,13307808.37
2020-11-28,1.89,11661882.96
2020-11-29,1.92,6139511.35
2020-11-30,1.97,8716571.17
2020-12-01,1.98,12847022.38
2020-12-02,2.12,15849828.21
2020-12-03,2.10,18106121.72
2020-12-04,1.86,9019864.15
2020-12-05,1.98,7750781.04
2020-12-06,1.85,7167229.51
2020-12-07,1.83,6425070.49
2020-12-08,1.67,11304051.08
2020-12-09,1.66,10461119.22
2020-12-10,1.57,6167983.17
2020-12-11,1.44,8273918.35
2020-12-12,1.49,7085230.84
2020-12-13,1.57,8389349.11
2020-12-14,1.59,8672051.96
2020-12-15,1.76,19470079.53
2020-12-17,1.68,15461476.78
2020-12-18,1.70,7879396.91
2020-12-19,1.67,9095045.00
2020-12-20,1.56,9093229.50
2020-12-21,1.54,8333991.44
2020-12-22,1.49,11066564.74
2020-12-23,1.21,16776307.04
2020-12-24,1.36,9236938.51
2020-12-25,1.45,9359548.53
2020-12-26,1.32,6798656.32
2020-12-27,1.30,12286531.40
2020-12-28,1.52,12668149.82
2020-12-29,1.67,26355258.83
2020-12-30,1.54,12663615.74
2020-12-31,1.51,12763259.57
2021-01-01,1.84,25722549.34
2021-01-02,1.80,31671063.54
2021-01-03,2.16,55073422.18
2021-01-04,2.49,59955404.84
2021-01-05,2.16,50555207.04
2021-01-06,1.93,50263975.13
2021-01-07,2.37,159870278.08
2021-01-08,3.22,206412154.24
2021-01-09,3.39,91906875.46
2021-01-10,3.47,62766977.36
2021-01-11,3.11,82877500.03
2021-01-12,3.61,73484689.24
2021-01-13,3.51,57994892.73
2021-01-14,3.28,59283112.22
2021-01-15,3.25,45331738.75
2021-01-16,3.45,68035606.39
2021-01-17,3.82,85407766.19
2021-01-18,3.80,70601712.77
2021-01-19,3.64,44547767.97
2021-01-20,3.72,46698656.45
2021-01-21,2.99,43834764.54
2021-01-22,3.35,63361382.18
2021-01-23,3.50,27904470.43
2021-01-24,3.63,32747555.30
2021-01-25,3.70,80055958.49
2021-01-26,4.05,78823455.82
2021-01-27,3.69,35195110.46
2021-01-28,3.82,31410526.72
2021-01-29,3.83,44053151.39
2021-01-30,4.22,53378197.61
2021-01-31,4.26,78376266.82
2021-02-01,4.61,39361628.64
2021-02-02,5.27,98755961.80
2021-02-03,5.72,49386326.92
2021-02-04,6.43,108249481.51
2021-02-05,6.68,92892157.08
2021-02-06,6.11,102365493.54
2021-02-07,6.70,105451102.52
2021-02-08,7.88,155254260.78
2021-02-09,7.82,121037872.69
2021-02-10,9.07,120679901.64
2021-02-11,9.22,53600047.53
2021-02-12,9.25,91484663.66
2021-02-13,8.73,91417967.69
2021-02-14,8.74,93500422.71
2021-02-15,8.86,109854634.59
2021-02-16,8.30,71625204.52
2021-02-17,8.22,89948577.67
2021-02-18,8.98,77306770.40
2021-02-19,11.47,261175710.73
2021-02-20,10.00,140264809.98
2021-02-21,11.09,137742366.13
2021-02-22,14.45,574136240.77
2021-02-23,15.20,485252846.29
2021-02-24,17.30,375439706.61
2021-02-25,13.82,364505275.74
2021-02-26,13.59,289687328.45
2021-02-27,13.20,247640939.78
2021-02-28,13.09,300493226.01
2021-03-01,14.96,306451693.03
2021-03-02,13.96,178549851.50
2021-03-03,14.12,153830742.14
2021-03-04,13.10,116364465.82
2021-03-05,12.61,90978408.01
2021-03-06,13.04,118851546.10
2021-03-07,13.88,117548176.21
2021-03-08,13.60,115525658.69
2021-03-09,14.85,134867043.68
2021-03-10,14.23,103150900.84
2021-03-11,15.99,229272515.60
2021-03-12,14.55,185287456.96
2021-03-13,15.31,145102757.40
2021-03-14,14.51,90232803.50
2021-03-15,14.19,102600691.55
2021-03-16,13.62,112303590.08
2021-03-17,14.22,94696338.79
2021-03-18,14.23,79074262.62
2021-03-19,14.20,68715211.03
2021-03-20,14.21,68049682.97
2021-03-21,14.33,64229338.03
2021-03-22,14.92,260995136.25
2021-03-23,14.20,106780661.98
2021-03-24,13.66,118813690.26
2021-03-25,13.03,116277942.87
2021-03-26,14.78,149987319.22
2021-03-27,16.51,223872586.73
2021-03-28,18.02,426120062.11
2021-03-29,18.85,216748600.52
2021-03-30,19.23,264028426.63
2021-03-31,19.47,206011017.73
2021-04-01,19.08,173731885.57
2021-04-02,19.81,131061659.84
2021-04-03,22.55,483057739.57
2021-04-04,24.06,426557980.35
2021-04-05,22.98,264085329.41
2021-04-06,24.96,320886934.82
2021-04-07,26.48,676846221.32
2021-04-08,27.03,377988327.49
2021-04-09,27.78,282477938.07
2021-04-10,26.84,270235257.75
2021-04-11,27.93,232938762.18
2021-04-12,28.51,308804545.90
2021-04-13,27.44,258183912.26
2021-04-14,26.48,342565805.30
2021-04-15,27.82,221346738.91
2021-04-16,25.40,240665351.49
2021-04-17,25.10,201720375.63
2021-04-18,32.30,1155150688.03
2021-04-19,31.68,1219130981.38
2021-04-20,31.77,793008154.45
2021-04-21,32.51,729130140.56
2021-04-22,38.88,1638622970.85
2021-04-23,36.98,1612232268.31
2021-04-24,40.74,1101380795.06
2021-04-25,47.37,1583800799.69
2021-04-26,43.98,1357487872.14
2021-04-27,43.24,904891996.11
2021-04-28,44.83,1021154320.38
2021-04-29,42.46,772259306.98
2021-04-30,42.96,534976437.19
2021-05-01,49.51,859524422.56
2021-05-02,46.89,571072187.45
2021-05-03,45.93,609194251.88
2021-05-04,42.73,682976428.41
2021-05-05,44.92,503781974.70
2021-05-06,43.46,391497017.92
2021-05-07,43.16,514344600.94
2021-05-08,45.56,451056654.56
2021-05-09,44.33,510603311.56
2021-05-10,42.91,499528075.74
2021-05-11,44.58,473731332.64
2021-05-12,42.46,1151668075.96
2021-05-13,41.00,1016860656.29
2021-05-14,42.72,504167711.24
2021-05-15,43.46,500445721.90
2021-05-16,47.20,1990976771.49
2021-05-17,46.86,1951921365.76
2021-05-18,55.91,2025388218.69
2021-05-19,35.11,2772224998.89
2021-05-20,44.74,2487748626.09
2021-05-21,38.81,1769762028.27
2021-05-22,31.32,1078751750.80
2021-05-23,24.69,1925832341.42
2021-05-24,31.28,1346786022.77
2021-05-25,30.00,909470304.61
2021-05-26,35.54,1069991364.89
2021-05-27,33.58,649389057.89
2021-05-28,29.04,600255581.78
2021-05-29,27.38,376859866.34
2021-05-30,28.60,359661703.65
2021-05-31,32.82,534826504.42
2021-06-01,30.99,432053117.17
2021-06-02,33.96,497567417.82
2021-06-03,39.47,960056106.14
2021-06-04,37.42,1056279506.22
2021-06-05,39.59,1112426663.75
2021-06-06,42.31,794387364.26
2021-06-07,38.26,923157613.83
2021-06-08,41.52,1786996802.01
2021-06-09,42.03,1218831040.77
2021-06-10,41.10,595246689.49
2021-06-11,36.05,518666602.77
2021-06-12,36.44,549070417.12
2021-06-13,38.77,452988674.40
2021-06-15,41.15,605285143.40
2021-06-16,39.70,576016901.76
2021-06-17,39.26,417775599.91
2021-06-18,36.65,424163368.82
2021-06-19,35.35,264640750.32
2021-06-20,35.32,452587531.23
2021-06-21,26.66,760344541.01
2021-06-22,26.77,1258580061.10
2021-06-23,30.05,1111302686.63
2021-06-24,31.18,641150364.16
2021-06-25,28.70,632052177.40
2021-06-26,29.71,560342710.32
2021-06-27,31.93,497353287.91
2021-06-28,32.93,473612134.61
2021-06-29,33.87,471854279.10
2021-06-30,35.56,570984167.90
2021-07-01,33.40,474665320.76
2021-07-02,34.02,440298779.57
2021-07-03,34.48,327019963.78
2021-07-04,34.31,303420519.91
2021-07-05,32.98,313839322.49
2021-07-06,34.27,365336040.07
2021-07-07,36.59,519252659.09
2021-07-08,33.20,498201256.92
2021-07-09,33.26,327170629.42
2021-07-10,31.79,296566656.79
2021-07-11,32.18,211679809.75
2021-07-12,30.85,221058993.41
2021-07-13,29.12,197825361.82
2021-07-14,31.28,331866434.17
2021-07-15,28.45,329918375.91
2021-07-16,26.37,374718328.01
2021-07-17,26.72,289689475.47
2021-07-18,26.75,230336396.49
